,rev_name,sample,timepoint,initial_name,Day,k_cl_weight,k_cl_volume_l,moisture_percent,dry_soil,nh4n_mgl_1,no3n_mgl_1,nh4n_mg_kg_1,no3n_mg_kg_1,Crop,Treatment,Addition,Rep2,Rep,total_N_mg_kg,net_N_mg_kg_1,Cumul_net_N_mg_kg_1
184,40c,40,c,40c,15,38.484,0.035633333,48.8302975,3.128515611,0.026384166,3.112524349,0.300511776,35.45119521,Miscanthus,112N,Control,Miscanthus-112N-Control-15,Miscanthus-112N-Control,35.75170699,35.75170699,-13.64187723
185,41c,41,c,41c,15,38.424,0.035577778,48.8302975,3.615651179,-0.008794722,2.3850495,0,23.46873548,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-15,Miscanthus-112N-Carbon,23.46873548,0.181746337,-79.7386714
186,42c,42,c,42c,15,38.368,0.035525926,48.8302975,3.396644852,-0.008794722,9.218547996,0,96.41792637,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-15,Miscanthus-112N-Nitrogen,96.41792637,28.8287685,21.4643673
187,43c,43,c,43c,15,38.385,0.035541667,38.54459018,3.813922733,0.114331386,6.688334916,1.065445814,62.32810331,Miscanthus,336N,Control,Miscanthus-336N-Control-15,Miscanthus-336N-Control,63.39354912,6.828651891,8.365917413
188,44c,44,c,44c,15,38.417,0.035571296,38.54459018,3.67687717,0.158304996,1.912472017,1.531493618,18.50187147,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-15,Miscanthus-336N-Carbon,20.03336509,12.37307298,-26.75770158
189,45c,45,c,45c,15,38.26,0.035425926,38.54459018,4.120585228,1.028982474,6.640951623,8.846475654,57.09428327,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-15,Miscanthus-336N-Nitrogen,65.94075892,-30.58470571,-1.623590626
190,46c,46,c,46c,15,38.28,0.035444444,39.06003785,4.236546169,0,4.342169808,0,36.32812919,Miscanthus,112N,Control,Miscanthus-112N-Control-15,Miscanthus-112N-Control,36.32812919,-14.72545546,-6.234772736
191,47c,47,c,47c,15,38.401,0.035556481,39.06003785,3.99217692,0.096741942,3.353575771,0.861635929,29.86875511,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-15,Miscanthus-112N-Carbon,30.73039104,2.984401738,-22.91170285
192,48c,48,c,48c,15,38.411,0.035565741,39.06003785,4.28346994,-0.04397361,12.77940849,0,106.1076967,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-15,Miscanthus-112N-Nitrogen,106.1076967,13.49723815,35.57936196
193,49c,49,c,49c,15,38.414,0.035568519,51.50953066,3.444278037,-0.068720016,0.77079695,0,7.95989908,Miscanthus,0N,Control,Miscanthus-0N-Control-15,Miscanthus-0N-Control,7.95989908,-0.484225759,-7.001081033
194,50c,50,c,50c,15,38.373,0.035530556,51.50953066,3.364753668,-0.077310018,0.223557219,0,2.360681639,Miscanthus,0N,Carbon,Miscanthus-0N-Carbon-15,Miscanthus-0N-Carbon,2.360681639,-3.368407811,-10.61318243
195,51c,51,c,51c,15,38.785,0.035912037,51.50953066,3.536409929,-0.111670026,3.770633508,0,38.29056385,Miscanthus,0N,Nitrogen,Miscanthus-0N-Nitrogen-15,Miscanthus-0N-Nitrogen,38.29056385,-9.322199671,9.26436713
196,52c,52,c,52c,15,38.765,0.035893519,44.67019051,3.800604614,-0.08590002,0.227972775,0,2.153011392,Miscanthus,0N,Control,Miscanthus-0N-Control-15,Miscanthus-0N-Control,2.153011392,-3.335462717,-6.764213285
197,53c,53,c,53c,15,38.835,0.035958333,44.67019051,3.731442352,-0.068720016,0.188274435,0,1.814321176,Miscanthus,0N,Carbon,Miscanthus-0N-Carbon-15,Miscanthus-0N-Carbon,1.814321176,-2.667545461,-6.777970339
198,54c,54,c,54c,15,38.947,0.036062037,44.67019051,4.061208017,-0.094490022,4.265121956,0,37.872718,Miscanthus,0N,Nitrogen,Miscanthus-0N-Nitrogen-15,Miscanthus-0N-Nitrogen,37.872718,5.026342259,19.08999182
199,55c,55,c,55c,15,38.879,0.035999074,53.54534388,3.528695679,0,4.096512959,0,41.79183667,Miscanthus,336N,Control,Miscanthus-336N-Control-15,Miscanthus-336N-Control,41.79183667,-29.59470845,-21.0369817
200,56c,56,c,56c,15,38.753,0.035882407,53.54534388,3.197938527,-0.103080024,3.167880813,0,35.54514541,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-15,Miscanthus-336N-Carbon,35.54514541,-4.823701277,-26.37501849
201,57c,57,c,57c,15,38.792,0.035918519,53.54534388,3.296886945,-0.146030034,7.041730398,0,76.71737852,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-15,Miscanthus-336N-Nitrogen,76.71737852,-36.05106265,-51.25046326
202,58c,58,c,58c,15,38.897,0.036015741,45.74196993,3.804030488,-0.077310018,3.219228892,0,30.47896528,Miscanthus,112N,Control,Miscanthus-112N-Control-15,Miscanthus-112N-Control,30.47896528,-4.166410966,-1.560060316
203,59c,59,c,59c,15,38.953,0.036067593,45.74196993,3.912003968,-0.060130014,1.705175805,0,15.72124843,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-15,Miscanthus-112N-Carbon,15.72124843,-1.786454762,-20.41533491
204,60c,60,c,60c,15,38.873,0.035993519,45.74196993,3.997189075,-0.08590002,4.459224053,0,40.15400835,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-15,Miscanthus-112N-Nitrogen,40.15400835,-35.36905978,-17.54666659
205,61c,61,c,61c,15,38.886,0.036005556,51.65241239,3.505683578,0.068720016,0.481572451,0.7057974,4.94604925,Miscanthus,0N,Control,Miscanthus-0N-Control-15,Miscanthus-0N-Control,5.65184665,-4.678052644,-11.51606039
206,62c,62,c,62c,15,38.703,0.035836111,51.65241239,3.472323742,-0.146030034,0.179465311,0,1.85217143,Miscanthus,0N,Carbon,Miscanthus-0N-Carbon-15,Miscanthus-0N-Carbon,1.85217143,-5.170682447,-13.41517116
207,63c,63,c,63c,15,38.818,0.035942593,51.65241239,3.417207492,-0.068720016,1.887941026,0,19.85758702,Miscanthus,0N,Nitrogen,Miscanthus-0N-Nitrogen-15,Miscanthus-0N-Nitrogen,19.85758702,-19.85658705,-33.73207339
208,64c,64,c,64c,15,38.887,0.036006481,52.29109668,3.668814665,-0.188980044,5.061606783,0,49.67562211,Miscanthus,336N,Control,Miscanthus-336N-Control-15,Miscanthus-336N-Control,49.67562211,0.832346403,-13.8177306
209,65c,65,c,65c,15,38.927,0.036043519,52.29109668,3.470822717,-0.17180004,2.625700391,0,27.26716067,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-15,Miscanthus-336N-Carbon,27.26716067,3.04168655,-24.3040102
210,66c,66,c,66c,15,38.944,0.036059259,52.29109668,3.695054562,-0.111670026,11.84198314,0,115.5634194,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-15,Miscanthus-336N-Nitrogen,115.5634194,3.289088273,14.43076533
211,67c,67,c,67c,15,38.905,0.036023148,53.49931923,3.031844386,-0.223340052,0.214729579,0,2.551329972,Miscanthus,0N,Control,Miscanthus-0N-Control-15,Miscanthus-0N-Control,2.551329972,-5.107838248,-9.941082353
212,68c,68,c,68c,15,38.984,0.036096296,53.49931923,3.291783192,-0.008590002,0.219142821,0,2.403027092,Miscanthus,0N,Carbon,Miscanthus-0N-Carbon-15,Miscanthus-0N-Carbon,2.403027092,-4.793196778,-11.62274285
213,69c,69,c,69c,15,39,0.036111111,53.49931923,3.256442674,-0.12885003,2.111419008,0,23.4137966,Miscanthus,0N,Nitrogen,Miscanthus-0N-Nitrogen-15,Miscanthus-0N-Nitrogen,23.4137966,-4.800007929,-6.83066333
214,70c,70,c,70c,15,39.053,0.036160185,52.08002904,3.26766282,-0.034360008,2.366995051,0,26.1933327,Miscanthus,112N,Control,Miscanthus-112N-Control-15,Miscanthus-112N-Control,26.1933327,-19.50762825,-14.78759653
215,71c,71,c,71c,15,39.011,0.036121296,52.08002904,3.296894002,-0.060130014,1.278976765,0,14.01267334,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-15,Miscanthus-112N-Carbon,14.01267334,-8.866141969,-23.49540278
216,72c,72,c,72c,15,39.009,0.036119444,52.08002904,3.204887658,-0.103080024,3.976781011,0,44.81876937,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-15,Miscanthus-112N-Nitrogen,44.81876937,-23.64597409,-32.63681128
217,1d,1,d,1d,30,38.124,0.0353,51.88985987,3.614033727,0.20106869,2.257909312,1.963934289,22.0540827,Corn,0N,Control,Corn-0N-Control-30,Corn-0N-Control,24.01801699,17.74772979,12.38608418
218,2d,2,d,2d,30,38.226,0.035394444,51.88985987,3.458637974,0.125667931,2.494344766,1.286039949,25.5262181,Corn,0N,Carbon,Corn-0N-Carbon-30,Corn-0N-Carbon,26.81225805,23.34923309,17.56005562
219,3d,3,d,3d,30,38.201,0.035371296,51.88985987,3.356163375,0.175935103,7.329090245,1.854216247,77.24278995,Corn,0N,Nitrogen,Corn-0N-Nitrogen-30,Corn-0N-Nitrogen,79.0970062,53.61101787,49.09031022
220,4d,4,d,4d,30,38.392,0.035548148,41.89255076,3.837997022,0.343492345,1.412067904,3.181481564,13.07880094,Corn,112N,Control,Corn-112N-Control-30,Corn-112N-Control,16.2602825,12.64325399,8.58544876
221,5d,5,d,5d,30,38.224,0.035392593,41.89255076,3.945495803,0.184312965,0.789609484,1.653357146,7.083096316,Corn,112N,Carbon,Corn-112N-Carbon-30,Corn-112N-Carbon,8.736453462,5.932999205,1.688338145
222,6d,6,d,6d,30,38.453,0.03560463,41.89255076,4.027427307,0.167557241,3.664352026,1.481296384,32.39484832,Corn,112N,Nitrogen,Corn-112N-Nitrogen-30,Corn-112N-Nitrogen,33.8761447,15.1400735,18.75553832
223,7d,7,d,7d,30,38.307,0.035469444,37.49408555,3.913495304,0.150801517,2.843852015,1.366769503,25.77487469,Corn,0N,Control,Corn-0N-Control-30,Corn-0N-Control,27.14164419,21.52973664,19.3852289
224,8d,8,d,8d,30,38.338,0.035498148,37.49408555,4.006629116,0.175935103,1.811232111,1.558759289,16.04725167,Corn,0N,Carbon,Corn-0N-Carbon-30,Corn-0N-Carbon,17.60601096,14.94289496,12.20160944
225,9d,9,d,9d,30,38.591,0.035732407,37.49408555,3.951623912,0.092156483,6.587865473,0.833321457,59.57052045,Corn,0N,Nitrogen,Corn-0N-Nitrogen-30,Corn-0N-Nitrogen,60.40384191,23.8857454,44.5306882
226,10d,10,d,10d,30,38.547,0.035691667,44.57222876,3.462572869,0.175935103,1.73261336,1.813511885,17.85951107,Corn,112N,Control,Corn-112N-Control-30,Corn-112N-Control,19.67302296,13.94641584,5.498715277
227,11d,11,d,11d,30,38.563,0.035706481,44.57222876,3.748580169,0.226202276,1.159805259,2.154652432,11.0475335,Corn,112N,Carbon,Corn-112N-Carbon-30,Corn-112N-Carbon,13.20218593,9.875727892,0.385266727
228,12d,12,d,12d,30,38.551,0.03569537,44.57222876,3.756894335,0.20106869,7.61672878,1.910413421,72.36880535,Corn,112N,Nitrogen,Corn-112N-Nitrogen-30,Corn-112N-Nitrogen,74.27921877,49.6121393,52.53153676
229,13d,13,d,13d,30,38.752,0.035881481,39.15603401,3.758940219,0.134045793,19.87724955,1.279552576,189.7410228,Corn,336N,Control,Corn-336N-Control-30,Corn-336N-Control,191.0205754,-8.645782967,68.66126828
230,14d,14,d,14d,30,38.721,0.035852778,39.15603401,3.73947015,0.083778621,18.00052804,0.803241144,172.5829879,Corn,336N,Carbon,Corn-336N-Carbon-30,Corn-336N-Carbon,173.386229,90.31756351,53.82395517
231,15d,15,d,15d,30,38.848,0.03597037,39.15603401,4.009617359,0.125667931,19.73519423,1.127369925,177.0448854,Corn,336N,Nitrogen,Corn-336N-Nitrogen-30,Corn-336N-Nitrogen,178.1722553,59.9529431,41.31154196
232,16d,16,d,16d,30,38.8,0.035925926,37.88436194,3.687184275,0.125667931,7.421498092,1.224440235,72.31105657,Corn,336N,Control,Corn-336N-Control-30,Corn-336N-Control,73.53549681,49.73990374,25.61348637
233,17d,17,d,17d,30,39.043,0.036150926,37.88436194,3.833777181,0.008377862,6.388112583,0.078999758,60.23724747,Corn,336N,Carbon,Corn-336N-Carbon-30,Corn-336N-Carbon,60.31624723,35.89215044,0.210556139
234,18d,18,d,18d,30,39.073,0.036178704,37.88436194,4.040001099,0.117290069,12.86636328,1.050346906,115.2198559,Corn,336N,Nitrogen,Corn-336N-Nitrogen-30,Corn-336N-Nitrogen,116.2702028,28.20714841,34.25662302
235,19d,19,d,19d,30,39.016,0.036125926,40.52771432,4.227884789,-0.04188931,2.50706254,0,21.42204912,Corn,112N,Control,Corn-112N-Control-30,Corn-112N-Control,21.42204912,11.09765654,11.54693588
236,20d,20,d,20d,30,39.126,0.036227778,40.52771432,3.888892761,0.083778621,0.479612644,0.780456919,4.467929912,Corn,112N,Carbon,Corn-112N-Carbon-30,Corn-112N-Carbon,5.248386831,2.090480635,-3.021659407
237,21d,21,d,21d,30,39.136,0.036237037,40.52771432,4.237995078,-0.025133586,8.581834657,0,73.37909899,Corn,112N,Nitrogen,Corn-112N-Nitrogen-30,Corn-112N-Nitrogen,73.37909899,54.67738436,35.02544678
238,22d,22,d,22d,30,39.231,0.036325,44.89761115,3.600390087,0.092156483,3.058889845,0.929783763,30.86170413,Corn,336N,Control,Corn-336N-Control-30,Corn-336N-Control,31.79148789,22.78165242,20.05827641
239,23d,23,d,23d,30,39.493,0.036567593,44.89761115,3.858269267,0.125667931,1.326373156,1.191045359,12.57099228,Corn,336N,Carbon,Corn-336N-Carbon-30,Corn-336N-Carbon,13.76203764,9.070364451,2.950219753
240,24d,24,d,24d,30,39.437,0.036515741,44.89761115,3.909514489,0.318358759,7.778496231,2.973542096,72.65289655,Corn,336N,Nitrogen,Corn-336N-Nitrogen-30,Corn-336N-Nitrogen,75.62643865,46.53675534,40.13943505
241,25d,25,d,25d,30,39.527,0.036599074,46.16341882,3.714724101,1.095969539,2.415568754,10.79796756,23.79923174,Corn,336N,Control,Corn-336N-Control-30,Corn-336N-Control,34.5971993,27.48869811,18.63751933
242,26d,26,d,26d,30,39.853,0.036900926,46.16341882,3.296952231,0,0.988818955,0,11.0672926,Corn,336N,Carbon,Corn-336N-Carbon-30,Corn-336N-Carbon,11.0672926,7.543981442,-1.09794497
243,27d,27,d,27d,30,39.747,0.036802778,46.16341882,3.525757701,-0.056203566,5.238640512,0,54.68229497,Corn,336N,Nitrogen,Corn-336N-Nitrogen-30,Corn-336N-Nitrogen,54.68229497,25.40381782,30.19558198
244,28d,28,d,28d,30,39.92,0.036962963,45.38233189,3.970158295,-0.037469044,1.847832832,0,17.20369101,Corn,0N,Control,Corn-0N-Control-30,Corn-0N-Control,17.20369101,13.31765709,4.475368693
245,29d,29,d,29d,30,39.936,0.036977778,45.38233189,3.911171213,0.018734522,1.166505181,0.177123668,11.02860678,Corn,0N,Carbon,Corn-0N-Carbon-30,Corn-0N-Carbon,11.20573045,8.133152533,-1.970922525
246,30d,30,d,30d,30,39.906,0.03695,45.38233189,4.000198012,0.09367261,6.579316897,0.865257902,60.77343137,Corn,0N,Nitrogen,Corn-0N-Nitrogen-30,Corn-0N-Nitrogen,61.63868927,31.1484287,38.06280394
247,31d,31,d,31d,30,40.141,0.037167593,37.55170771,3.691318557,0.018734522,7.057479271,0.18863641,71.06119675,Corn,112N,Control,Corn-112N-Control-30,Corn-112N-Control,71.24983316,27.30050953,26.35816374
248,32d,32,d,32d,30,40.049,0.037082407,37.55170771,3.862426878,-0.065570827,5.488476926,0,52.69379689,Corn,112N,Carbon,Corn-112N-Carbon-30,Corn-112N-Carbon,52.69379689,23.97329646,-1.368986711
249,33d,33,d,33d,30,40.13,0.037157407,37.55170771,3.947981039,-0.074938088,10.78023438,0,101.4608624,Corn,112N,Nitrogen,Corn-112N-Nitrogen-30,Corn-112N-Nitrogen,101.4608624,44.59743331,34.41422627
250,34d,34,d,34d,30,40.178,0.037201852,44.93038326,3.556395849,0,2.590466594,0,27.09770187,Corn,0N,Control,Corn-0N-Control-30,Corn-0N-Control,27.09770187,17.89766656,14.59712246
251,35d,35,d,35d,30,40.274,0.037290741,44.93038326,3.906638612,-0.018734522,2.125828479,0,20.29205323,Corn,0N,Carbon,Corn-0N-Carbon-30,Corn-0N-Carbon,20.29205323,13.95380706,11.49531444
252,36d,36,d,36d,30,40.282,0.037298148,44.93038326,3.808614694,0.056203566,6.477862909,0.550407195,63.43836536,Corn,0N,Nitrogen,Corn-0N-Nitrogen-30,Corn-0N-Nitrogen,63.98877256,17.60328212,40.14121767
253,37d,37,d,37d,30,40.367,0.037376852,54.70784056,3.079866842,-0.018734522,8.379299278,0,101.6900547,Miscanthus,336N,Control,Miscanthus-336N-Control-30,Miscanthus-336N-Control,101.6900547,58.62669745,19.44236057
254,38d,38,d,38d,30,40.551,0.037547222,54.70784056,3.408234998,0.009367261,7.073681252,0.103195534,77.92804254,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-30,Miscanthus-336N-Carbon,78.03123807,46.86316842,11.52723503
255,39d,39,d,39d,30,40.644,0.037633333,54.70784056,3.442204117,0.065570827,12.77412803,0.716880436,139.6584867,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-30,Miscanthus-336N-Nitrogen,140.3753671,78.81074197,25.12326099
256,40d,40,d,40d,30,40.699,0.037684259,48.8302975,3.506148015,0,7.48051433,0,80.40095289,Miscanthus,112N,Control,Miscanthus-112N-Control-30,Miscanthus-112N-Control,80.40095289,44.6492459,31.00736867
257,41d,41,d,41d,30,40.771,0.037750926,48.8302975,3.270767384,-0.009367261,5.459778571,0,63.01631153,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-30,Miscanthus-112N-Carbon,63.01631153,39.54757605,-40.19109535
258,42d,42,d,42d,30,40.818,0.037794444,48.8302975,3.299934114,-0.028101783,10.91972843,0,125.0646393,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-30,Miscanthus-112N-Nitrogen,125.0646393,28.64671293,50.11108023
259,43d,43,d,43d,30,40.95,0.037916667,38.54459018,3.882138238,0.018734522,6.659567641,0.18297922,65.04369265,Miscanthus,336N,Control,Miscanthus-336N-Control-30,Miscanthus-336N-Control,65.22667187,1.833122746,10.19904016
260,44d,44,d,44d,30,41.103,0.038058333,38.54459018,4.333835501,0.177977959,0.479427585,1.56294453,4.210177068,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-30,Miscanthus-336N-Carbon,5.773121598,-14.26024349,-41.01794507
261,45d,45,d,45d,30,41.157,0.038108333,38.54459018,4.11628335,0.318486875,10.28614121,2.948534628,95.22855076,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-30,Miscanthus-336N-Nitrogen,98.17708539,32.23632646,30.61273584
262,46d,46,d,46d,30,41.231,0.038176852,39.06003785,4.099431254,-0.149876176,7.165596135,0,66.73118419,Miscanthus,112N,Control,Miscanthus-112N-Control-30,Miscanthus-112N-Control,66.73118419,30.403055,24.16828226
263,47d,47,d,47d,30,41.369,0.03830463,39.06003785,4.208513786,-0.168610698,4.283794133,0,38.98980876,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-30,Miscanthus-112N-Carbon,38.98980876,8.259417721,-14.65228513
264,48d,48,d,48d,30,41.342,0.03827963,39.06003785,4.31454932,-0.177977959,13.28118069,0,117.8335534,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-30,Miscanthus-112N-Nitrogen,117.8335534,11.7258567,47.30521866
265,49d,49,d,49d,30,41.336,0.038274074,51.50953066,3.316263198,-0.104597304,4.070943035,0,46.98407996,Miscanthus,0N,Control,Miscanthus-0N-Control-30,Miscanthus-0N-Control,46.98407996,39.02418088,32.02309985
266,50d,50,d,50d,30,41.487,0.038413889,51.50953066,3.51895336,-0.171159224,2.537097404,0,27.69567193,Miscanthus,0N,Carbon,Miscanthus-0N-Carbon-30,Miscanthus-0N-Carbon,27.69567193,25.33499029,14.72180786
267,51d,51,d,51d,30,41.521,0.03844537,51.50953066,3.203280405,-0.171159224,8.049966637,0,96.61469173,Miscanthus,0N,Nitrogen,Miscanthus-0N-Nitrogen-30,Miscanthus-0N-Nitrogen,96.61469173,58.32412788,67.58849501
268,52d,52,d,52d,30,41.487,0.038413889,44.67019051,3.900198271,0.275756528,0.487630204,2.715985161,4.802774418,Miscanthus,0N,Control,Miscanthus-0N-Control-30,Miscanthus-0N-Control,7.518759579,5.365748187,-1.398465098
269,53d,53,d,53d,30,41.626,0.038542593,44.67019051,4.133136769,0.323300757,0.407736161,3.014864994,3.80224745,Miscanthus,0N,Carbon,Miscanthus-0N-Carbon-30,Miscanthus-0N-Carbon,6.817112444,5.002791268,-1.775179071
270,54d,54,d,54d,30,41.674,0.038587037,44.67019051,4.044609074,-0.076070766,6.961587853,0,66.41607221,Miscanthus,0N,Nitrogen,Miscanthus-0N-Nitrogen-30,Miscanthus-0N-Nitrogen,66.41607221,28.54335421,47.63334603
271,55d,55,d,55d,30,41.316,0.038255556,53.54534388,3.550064821,-0.085579612,9.498115388,0,102.3518441,Miscanthus,336N,Control,Miscanthus-336N-Control-30,Miscanthus-336N-Control,102.3518441,60.56000743,39.52302573
272,56d,56,d,56d,30,41.487,0.038413889,53.54534388,3.23138588,0,4.270259839,0,50.76375681,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-30,Miscanthus-336N-Carbon,50.76375681,15.2186114,-11.15640709
273,57d,57,d,57d,30,41.6,0.038518519,53.54534388,3.33265703,-0.057053075,15.55399509,0,179.7715284,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-30,Miscanthus-336N-Nitrogen,179.7715284,103.0541499,51.80368662
274,58d,58,d,58d,30,41.823,0.038725,45.74196993,3.365625605,-0.237721145,4.428829995,0,50.95826502,Miscanthus,112N,Control,Miscanthus-112N-Control-30,Miscanthus-112N-Control,50.95826502,20.47929974,18.91923942
275,59d,59,d,59d,30,41.57,0.038490741,45.74196993,3.701482811,-0.11410615,3.210677377,0,33.38698484,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-30,Miscanthus-112N-Carbon,33.38698484,17.66573641,-2.749598499
276,60d,60,d,60d,30,38.788,0.035914815,45.74196993,3.696057008,-0.095088458,11.13028534,0,108.1536718,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-30,Miscanthus-112N-Nitrogen,108.1536718,67.99966345,50.45299686
277,61d,61,d,61d,30,38.551,0.03569537,51.65241239,3.628002974,-0.009508846,1.022659491,0,10.06179144,Miscanthus,0N,Control,Miscanthus-0N-Control-30,Miscanthus-0N-Control,10.06179144,4.40994479,-7.106115604
278,62d,62,d,62d,30,38.805,0.035930556,51.65241239,3.353388677,0.028526537,0.612793283,0.305653302,6.565896538,Miscanthus,0N,Carbon,Miscanthus-0N-Carbon-30,Miscanthus-0N-Carbon,6.87154984,5.01937841,-8.395792747
279,63d,63,d,63d,30,38.99,0.036101852,51.65241239,3.359190387,-0.038035383,4.707239733,0,50.5895921,Miscanthus,0N,Nitrogen,Miscanthus-0N-Nitrogen-30,Miscanthus-0N-Nitrogen,50.5895921,30.73200508,-3.00006831
280,64d,64,d,64d,30,40.878,0.03785,52.29109668,3.45937258,-0.199685762,8.217570658,0,89.91082696,Miscanthus,336N,Control,Miscanthus-336N-Control-30,Miscanthus-336N-Control,89.91082696,40.23520485,26.41747425
281,65d,65,d,65d,30,38.855,0.035976852,52.29109668,3.411186587,-0.190176916,5.170463204,0,54.5314611,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-30,Miscanthus-336N-Carbon,54.5314611,27.26430043,2.960290227
282,66d,66,d,66d,30,41.297,0.038237963,52.29109668,3.620628673,-0.076070766,14.92204311,0,157.5937726,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-30,Miscanthus-336N-Nitrogen,157.5937726,42.0303532,56.46111853
283,67d,67,d,67d,30,39.027,0.036136111,53.49931923,3.000223923,-0.009508846,0.663436473,0,7.990741592,Miscanthus,0N,Control,Miscanthus-0N-Control-30,Miscanthus-0N-Control,7.990741592,5.43941162,-4.501670733
284,68d,68,d,68d,30,39.203,0.036299074,53.49931923,3.047654618,0.152141533,0.612793283,1.812080918,7.298671131,Miscanthus,0N,Carbon,Miscanthus-0N-Carbon-30,Miscanthus-0N-Carbon,9.110752049,6.707724957,-4.915017897
285,69d,69,d,69d,30,39.304,0.036392593,53.49931923,3.294573233,0.076070766,2.474722866,0.840294691,27.33634213,Miscanthus,0N,Nitrogen,Miscanthus-0N-Nitrogen-30,Miscanthus-0N-Nitrogen,28.17663682,4.762840221,-2.067823109
286,70d,70,d,70d,30,39.574,0.036642593,52.08002904,3.194824464,-0.057053075,4.939752435,0,56.65580004,Miscanthus,112N,Control,Miscanthus-112N-Control-30,Miscanthus-112N-Control,56.65580004,30.46246734,15.67487081
287,71d,71,d,71d,30,39.807,0.036858333,52.08002904,3.21782605,0.038035383,4.076668221,0.435673279,46.69587287,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-30,Miscanthus-112N-Carbon,47.13154615,33.11887281,9.623470029
288,72d,72,d,72d,30,39.883,0.036928704,52.08002904,2.925514227,-0.057053075,10.90365305,0,137.63658,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-30,Miscanthus-112N-Nitrogen,137.63658,92.81781063,60.18099935
289,1e,1,e,1e,59,37.603,0.034817593,51.88985987,3.187296784,-0.13609881,8.46699156,0,92.49225367,Corn,0N,Control,Corn-0N-Control-59,Corn-0N-Control,92.49225367,68.47423668,80.86032086
290,2e,2,e,2e,59,37.708,0.034914815,51.88985987,3.476919827,-0.198913645,6.069454148,0,60.9487357,Corn,0N,Carbon,Corn-0N-Carbon-59,Corn-0N-Carbon,60.9487357,34.13647765,51.69653327
291,3e,3,e,3e,59,37.542,0.034761111,51.88985987,3.417263253,-0.240790202,13.64675857,0,138.8176607,Corn,0N,Nitrogen,Corn-0N-Nitrogen-59,Corn-0N-Nitrogen,138.8176607,59.7206545,108.8109647
292,4e,4,e,4e,59,37.553,0.034771296,41.89255076,4.936808887,0.345481594,0.325308734,2.433321432,2.291238458,Corn,112N,Control,Corn-112N-Control-59,Corn-112N-Control,4.72455989,-11.53572261,-2.950273854
293,5e,5,e,5e,59,38.026,0.035209259,41.89255076,3.587553916,-0.094222253,2.599508781,0,25.51230748,Corn,112N,Carbon,Corn-112N-Carbon-59,Corn-112N-Carbon,25.51230748,16.77585402,18.46419216
294,6e,6,e,6e,59,38.158,0.035331481,41.89255076,3.887388354,0.638617492,9.827548635,5.80423154,89.32008355,Corn,112N,Nitrogen,Corn-112N-Nitrogen-59,Corn-112N-Nitrogen,95.12431509,61.24817039,80.00370871
295,7e,7,e,7e,59,38.13,0.035305556,37.49408555,4.267903839,-0.052345696,7.892362178,0,65.28831058,Corn,0N,Control,Corn-0N-Control-59,Corn-0N-Control,65.28831058,38.14666639,57.53189529
296,8e,8,e,8e,59,38.299,0.035462037,37.49408555,4.349786587,-0.188444506,6.375987126,0,51.98082414,Corn,0N,Carbon,Corn-0N-Carbon-59,Corn-0N-Carbon,51.98082414,34.37481318,46.57642262
297,9e,9,e,9e,59,38.188,0.035359259,37.49408555,4.259153011,-0.355950733,13.24690317,0,109.9750778,Corn,0N,Nitrogen,Corn-0N-Nitrogen-59,Corn-0N-Nitrogen,109.9750778,49.57123589,94.10192409
298,10e,10,e,10e,59,38.313,0.035475,44.57222876,3.436521817,-0.167506228,3.278916813,0,33.84805339,Corn,112N,Control,Corn-112N-Control-59,Corn-112N-Control,33.84805339,14.17503044,19.67374571
