ID	rev_name	Day	Crop	Treatment	Addition	Sample_Location	16S	F1R2_Ave/g	CS001_Ave/g	F1R2/16S(%)	CS001/16S(%)	qnorB_Ave/g	qnorB/16S	cnorB_Ave/g	qnorB+cnorB	cnorB/16S	tot_nor/16S
59c	59c	15	Miscanthus	112N	Carbon	D11-E11	7079202900	45190075.5	50173532.04	0.006383498	0.007087455	345254688	0.048770277	1194073137	1539327825	0.168673388	0.217443665
59d	59d	30	Miscanthus	112N	Carbon	D32-E11	10973994423	43166702.64	37532270.13	0.003933545	0.00342011	404178820	0.036830602	818569468.4	1222748288	0.074591752	0.111422354
59e	59e	59	Miscanthus	112N	Carbon	D60-E11	7385782600	85079780.85	53817757.18	0.0115194	0.00728667	429094311.4	0.058097338	959244269	1388338580	0.129877133	0.187974471
59f	59f	86	Miscanthus	112N	Carbon	D87-E11	4637896246	8262819.73	37258203.73	0.001781588	0.008033428	208588366	0.044974781	501489303.4	710077669.5	0.108128616	0.153103397
5a	5a	0	Corn	112N	Carbon	D0-A5	2184541031	14031832	18197539.2	0.00642324	0.008330143	116228636.1	0.05320506	458204734.4	574433370.5	0.209748743	0.262953802
5b	5b	4	Corn	112N	Carbon	D5-A5	7262219001	40170501.71	41167203.39	0.005531436	0.005668681	264693938.9	0.03644808	1197842504	1462536443	0.164941666	0.201389746
5c	5c	15	Corn	112N	Carbon	D11-A5	5229099662	48027583.92	43334947.99	0.009184676	0.008287268	155876061.1	0.02980935	624113599.8	779989661	0.119353931	0.149163281
5d	5d	30	Corn	112N	Carbon	D32-A5	11319482049	29449680.01	26454677.82	0.002601681	0.002337093	347853193.6	0.030730487	792931377	1140784571	0.070050147	0.100780633
5e	5e	59	Corn	112N	Carbon	D60-A5	6883447428	15281286.28	52746530.28	0.002220005	0.007662807	323634834	0.047016388	1060649200	1384284034	0.154086918	0.201103306
5f	5f	86	Corn	112N	Carbon	D87-A5	2199160558	15923251.05	12199970.32	0.007240604	0.005547558	78761967.47	0.03581456	238812045.6	317574013.1	0.108592365	0.144406925
60a	60a	0	Miscanthus	112N	Nitrogen	D0-E12	1237331676	7161695.67	7519358.08	0.005788016	0.006077076	104830477.5	0.084723021	454759393.5	559589871.1	0.36753233	0.452255351
60b	60b	4	Miscanthus	112N	Nitrogen	D5-E12	1493683324	12620161.83	13071639.12	0.008449021	0.008751279	76028102.06	0.050899746	527812702.3	603840804.4	0.353363189	0.404262935
60c	60c	15	Miscanthus	112N	Nitrogen	D11-E12	5845540074	55467924.42	58736309.27	0.009488931	0.010048055	317073000.4	0.054241866	1043382822	1360455823	0.178492117	0.232733983
60d	60d	30	Miscanthus	112N	Nitrogen	D32-E12	9138220908	33594699.97	31970864.41	0.003676285	0.003498587	341961312.5	0.037420994	695738393	1037699706	0.076134994	0.113555988
60e	60e	59	Miscanthus	112N	Nitrogen	D60-E12	5698453772	12653863.27	40526606.14	0.002220578	0.00711186	295985197	0.051941318	750072983.2	1046058180	0.131627458	0.183568775
60f	60f	86	Miscanthus	112N	Nitrogen	D87-E12	3771620992	116699206.9	31346437.84	0.030941393	0.008311131	211411042.7	0.056053098	491875001.7	703286044.4	0.130414748	0.186467847
61a	61a	0	Miscanthus	0N	Control	D0-F1	1082376476	6200157.41	5159620.39	0.005728282	0.004766937	40554622.7	0.03746813	193454888.9	234009511.6	0.178731609	0.216199739
61b	61b	4	Miscanthus	0N	Control	D5-F1	1395157813	7199172.29	5400808.75	0.005160113	0.00387111	52282802.95	0.037474472	424947855.9	477230658.8	0.304587662	0.342062134
61c	61c	15	Miscanthus	0N	Control	D11-F1	6411089126	23897538.19	21248005.49	0.003727532	0.003314258	279479808.3	0.043593187	1153825585	1433305393	0.179973412	0.223566599
61d	61d	30	Miscanthus	0N	Control	D32-F1	6546194377	10992373.44	7472358.49	0.001679201	0.001141481	212406580.4	0.032447338	547281613	759688193.4	0.083603019	0.116050357
61e	61e	59	Miscanthus	0N	Control	D60-F1	6367512019	26030241.25	18409566.2	0.004087977	0.002891171	286103953	0.044931828	878264466.8	1164368420	0.137928985	0.182860812
61f	61f	86	Miscanthus	0N	Control	D87-F1	3793712527	16276270.46	13540899.13	0.004290328	0.0035693	145990253.8	0.03848216	434429237	580419490.8	0.114512956	0.152995117
62a	62a	0	Miscanthus	0N	Carbon	D0-F2	1426269370	5109135.72	4520061.47	0.003582167	0.00316915	93782760.22	0.065753891	459900098.9	553682859.1	0.322449678	0.388203569
62b	62b	4	Miscanthus	0N	Carbon	D5-F2	1490112356	5121540.03	4667604.95	0.003437016	0.003132385	54745614.96	0.036739253	422051372.1	476796987.1	0.283234597	0.31997385
62c	62c	15	Miscanthus	0N	Carbon	D11-F2				#DIV/0!	#DIV/0!		#DIV/0!			#DIV/0!	#DIV/0!
62d	62d	30	Miscanthus	0N	Carbon	D32-F2	3202341247	4610888.58	3396433.03	0.001439849	0.001060609	87263059.8	0.027249769	287414249.7	374677309.5	0.089751287	0.117001057
62e	62e	59	Miscanthus	0N	Carbon	D60-F2	5824253130	141118028.8	15940401.46	0.024229378	0.002736901	274398508	0.047113081	803006531.9	1077405040	0.137872876	0.184985957
62f	62f	86	Miscanthus	0N	Carbon	D87-F2	4452610030	44297153.09	14051991.69	0.009948581	0.0031559	164161925	0.036868696	439247286.3	603409211.4	0.098649395	0.135518091
63a	63a	0	Miscanthus	0N	Nitrogen	D0-F3	906246556.1	3343703.78	3862563.73	0.003689618	0.004262155	66003194.1	0.072831387	352457935	418461129.1	0.388920579	0.461751966
63b	63b	4	Miscanthus	0N	Nitrogen	D5-F3	1629843736	11888858.6	14173048.23	0.007294478	0.008695955	66448380.62	0.040769786	638230932.7	704679313.3	0.39159026	0.432360046
63c	63c	15	Miscanthus	0N	Nitrogen	D11-F3	7812482604	30099950.39	22471640.66	0.003852802	0.002876376	314977878.6	0.040317258	1221668827	1536646706	0.156373958	0.196691216
63d	63d	30	Miscanthus	0N	Nitrogen	D32-F3	8840263035	20014717.31	15899106.07	0.002264041	0.001798488	278490759.1	0.031502542	686687265.7	965178024.9	0.077677244	0.109179786
63e	63e	59	Miscanthus	0N	Nitrogen	D60-F3	5239037074	40869373.79	15002429.06	0.007800932	0.002863585	254561657.6	0.048589398	767333862.1	1021895520	0.146464675	0.195054073
63f	63f	86	Miscanthus	0N	Nitrogen	D87-F3	5335784969	64413430.79	17527813.64	0.012071969	0.003284955	214050525.6	0.040116033	527577536	741628061.6	0.098875337	0.13899137
64a	64a	0	Miscanthus	336N	Control	D0-F4	1073124417	15145119.58	19702419.56	0.014113107	0.018359865	76520997.28	0.071306734	386793815.8	463314813.1	0.360437065	0.431743799
64b	64b	4	Miscanthus	336N	Control	D5-F4	1298540793	24991708.1	27108857.33	0.019245994	0.0208764	56228507.07	0.043301302	588951962.3	645180469.3	0.453549065	0.496850367
64c	64c	15	Miscanthus	336N	Control	D11-F4	5749625794	109323152.4	144309348.4	0.01901396	0.025098911	241550008.4	0.042011431	894808478.4	1136358487	0.155628994	0.197640425
64d	64d	30	Miscanthus	336N	Control	D32-F4	8234470324	54698948.85	63443213.01	0.00664268	0.007704589	232769850.9	0.028267738	596349923.1	829119774	0.072421164	0.100688902
64e	64e	59	Miscanthus	336N	Control	D60-F4	3679958539	19429432.94	65541781.18	0.005279797	0.017810467	190746830.2	0.051833962	518634424.8	709381255	0.140934855	0.192768817
64f	64f	86	Miscanthus	336N	Control	D87-F4	3328862726	15804756.11	66346871.43	0.004747794	0.019930792	125575978.8	0.037723388	357615918.1	483191896.9	0.107428857	0.145152245
65a	65a	0	Miscanthus	336N	Carbon	D0-F5	1414772289	17813209.87	21301930.44	0.012590867	0.015056791	87298318.07	0.061704854	447590972.3	534889290.3	0.316369621	0.378074475
65b	65b	4	Miscanthus	336N	Carbon	D5-F5	1385856810	25095500.24	30820600.65	0.018108292	0.022239383	50822054.91	0.036671938	521140533.4	571962588.3	0.376042121	0.412714058
65c	65c	15	Miscanthus	336N	Carbon	D11-F5	5529037113	84292400.41	102488359	0.015245403	0.018536385	236246996.2	0.042728416	953330311.6	1189577308	0.172422484	0.215150899
65d	65d	30	Miscanthus	336N	Carbon	D32-F5	8726359460	54824718.14	62115249.22	0.006282656	0.007118117	254306826.4	0.029142373	609428876.9	863735703.2	0.0698377	0.098980074
65e	65e	59	Miscanthus	336N	Carbon	D60-F5	5697694891	30248229.77	120490299.4	0.005308854	0.021147201	257467515.4	0.045188014	722068379.6	979535895	0.126729913	0.171917927
65f	65f	86	Miscanthus	336N	Carbon	D87-F5	3815472771	37347491.03	65694844.34	0.009788431	0.017218009	131459902.5	0.03445442	408071263.1	539531165.6	0.106951691	0.141406111
66a	66a	0	Miscanthus	336N	Nitrogen	D0-F6	1194620902	14648780.85	20154559.36	0.012262284	0.016871092	73418608.1	0.061457662	395287034.5	468705642.6	0.3308891	0.392346762
66b	66b	4	Miscanthus	336N	Nitrogen	D5-F6	1068978748	27069990.6	35193028.69	0.025323226	0.032922103	46558925.1	0.043554584	472364030.1	518922955.2	0.441883462	0.485438047
66c	66c	15	Miscanthus	336N	Nitrogen	D11-F6	4421520757	63697474.59	89971491.78	0.014406237	0.02034854	192696237.2	0.043581439	770681166.2	963377403.4	0.174302284	0.217883723
66d	66d	30	Miscanthus	336N	Nitrogen	D32-F6	8219603492	56571202.97	62433949.41	0.006882473	0.007595737	238377915.5	0.029001145	582680564.9	821058480.4	0.070889133	0.099890278
66e	66e	59	Miscanthus	336N	Nitrogen	D60-F6	4897754406	84456737.36	118352582.9	0.017243971	0.024164663	224519649.7	0.045841345	636576523.2	861096173	0.129973141	0.175814486
66f	66f	86	Miscanthus	336N	Nitrogen	D87-F6	2899953519	44237733.56	49966137.71	0.015254635	0.017229979	94612343.32	0.032625469	318021028.3	412633371.7	0.109664181	0.14228965
67a	67a	0	Miscanthus	0N	Control	D0-F7	1347001007	3323350.71	2756064.7	0.002467222	0.002046075	97553355.08	0.07242263	507463433.5	605016788.6	0.376735749	0.449158379
67b	67b	4	Miscanthus	0N	Control	D5-F7	1917985522	8893300.82	6917536.8	0.004636792	0.003606668	82015655.01	0.042761352	742712728.6	824728383.6	0.387235837	0.429997189
67c	67c	15	Miscanthus	0N	Control	D11-F7	6939458651	16131005.27	12191928.78	0.002324534	0.001756899	286077613.3	0.041224774	1135501734	1421579348	0.163629728	0.204854502
67d	67d	30	Miscanthus	0N	Control	D32-F7	11639195679	13935817.38	9748396.9	0.001197318	0.000837549	358152838.1	0.03077127	855273016.5	1213425855	0.073482141	0.104253411
67e	67e	59	Miscanthus	0N	Control	D60-F7	2928027276	11040671	5560604.35	0.003770686	0.001899096	106635888.1	0.036419021	253592181.6	360228069.6	0.086608545	0.123027566
